County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Baraga County,Michigan,65,8610,0.907692308,0.092307692,,60,0,0.771767308
Barber County,Kansas,240,4830,0.991666667,0.008333333,0,32.9,0,0.883778315
Barbour County,Alabama,193,26615,0.968911917,0.031088083,0,14.7,0,0.880672042
Barbour County,West Virginia,91,16890,0.769230769,0.230769231,0,44.7,17.6,0.694866631
Barnes County,North Dakota,76,11035,0.973684211,0.026315789,0,99.7,0,0.933551831
Barnstable County,Massachusetts,105,214705,0.952380952,0.047619048,2,36.9,20.9,0.700716679
Barnwell County,South Carolina,76,21915,0.947368421,0.052631579,0,47.6,0.6,0.812866638
Barren County,Kentucky,146,43285,0.979452055,0.020547945,0,18.5,0,0.920222177
Barron County,Wisconsin,317,45550,0.943217666,0.056782334,0,39,0,0.833592818
Barrow County,Georgia,76,73340,0.986842105,0.013157895,0,18.7,0,0.967672415
Barry County,Michigan,61,59315,0.819672131,0.180327869,0,2,0,0.771767308
Barry County,Missouri,162,35715,0.925925926,0.074074074,0,39.2,0,0.753229107
Bartholomew County,Indiana,264,80205,0.946969697,0.053030303,0,22.3,0,0.92512153
Barton County,Kansas,447,27215,0.995525727,0.004474273,0,83.4,0,0.883778315
Barton County,Missouri,207,12075,0.946859903,0.053140097,0,70.2,0,0.753229107
Bartow County,Georgia,215,101940,0.976744186,0.023255814,0,71.5,0,0.967672415
Bastrop County,Texas,237,78285,0.991561181,0.008438819,0,95.4,0,0.891372329
Bates County,Missouri,318,16515,0.921383648,0.078616352,0,67.6,0,0.753229107
Bath County,Virginia,70,4560,0.942857143,0.057142857,0,14.9,14.9,0.884284057
Bath County,Kentucky,89,12115,0.966292135,0.033707865,,,,0.920222177
Baxter County,Arkansas,82,40990,1,0,0,35.2,0,0.796760502
Bay County,Michigan,163,106105,0.81595092,0.18404908,0,68.7,0,0.771767308
Bay County,Florida,122,178360,0.893442623,0.106557377,1,42.4,0,0.882151679
Bayfield County,Wisconsin,95,14985,0.821052632,0.178947368,0,,,0.833592818
Baylor County,Texas,61,3640,0.950819672,0.049180328,0,,,0.891372329
Beadle County,South Dakota,150,18155,0.753333333,0.246666667,0,94.5,0,0.857210259
Bear Lake County,Idaho,33,5930,0.96969697,0.03030303,0,45.6,0,0.968883613
Beaufort County,North Carolina,156,47515,0.769230769,0.230769231,0,84.6,0,0.890560355
Beaufort County,South Carolina,70,175315,0.942857143,0.057142857,0,4.3,4,0.812866638
Beauregard Parish,Louisiana,226,36435,0.907079646,0.092920354,0,82.1,0,0.743835895
